Redshift	Hubble0	OmegaM	OmegaB	SpectralIndex	Sigma8
0	67.74	0.3089	0.0486	0.9667	0.8159
Wavenumber(k)	Pk
8.111012241581386e-05	353.05569944250675
8.167263315283755e-05	355.42160454198097
8.22390449853083e-05	357.80335400832394
8.280938496790202e-05	360.2010539598667
8.338368034292282e-05	362.614811226247
8.396195854160424e-05	365.0447333272363
8.454424718541944e-05	367.4909282417862
8.51305740874007e-05	369.95350451572205
8.572096725346768e-05	372.43257141177753
8.631545488376534e-05	374.9282389160615
8.691406537401084e-05	377.44061774279527
8.751682731684977e-05	379.9698193390908
8.812376950322204e-05	382.51595588972884
8.873492092373695e-05	385.0791403220017
8.9350310770058e-05	387.6594863105708
8.996996843629723e-05	390.2571082823541
9.059392352041916e-05	392.8721214214452
9.122220582565464e-05	395.50464167407813
9.18548453619243e-05	398.15478575359845
9.249187234727205e-05	400.82267114837873
9.313331720930843e-05	403.5084162612714
9.377921058666392e-05	406.2121404762724
9.442958333045256e-05	408.9339639886721
9.508446650574532e-05	411.67400779588445
9.574389139305412e-05	414.4323937027997
9.640788948982586e-05	417.20924432716055
9.707649251194689e-05	420.0046831049749
9.774973239525795e-05	422.8188342959593
9.842764129707962e-05	425.65182298902846
9.911025159774819e-05	428.50377510781937
9.979759590216246e-05	431.3748174162457
0.00010048970704134097	434.26507752408446
0.00010118661807399031	437.1746838926284
0.00010188836228808407	440.1037658403315
0.0001025949732024529	443.05245346499396
0.00010330648456838552	446.02087742068693
0.00010402293037124082	449.00916915334034
0.00010474434483207121	452.01746097642985
0.00010547076240925715	455.04588607661367
0.00010620221780015315	458.0945785194174
0.00010693874594274498	461.1636732549623
0.0001076803820173185	464.2533061237128
0.00010842716144814013	467.36361386227907
0.00010917911990514879	470.4947341092433
0.00010993629330565977	473.6468054110298
0.0001106987178160802	476.81996722781633
0.00011146642985363671	480.0143599394617
0.00011223946608811468	483.23012485150844
0.00011301786344361	486.4674042195499
0.00011380165910029259	489.7263414379408
0.00011459089049618237	493.00708097441395
0.0001153855953289375	496.30976825778026
0.000116185811557655	499.6345496824864
0.00011699157740468384	502.98157261499955
0.00011780293135745071	506.3509854002278
0.00011861991217029818	509.7429373679545
0.00011944255886633609	513.1575788393573
0.00012027091073930526	516.5950611335315
0.00012110500735545445	520.0555365740938
0.00012194488855543023	523.539158495787
0.00012279059445617995	527.0460812511614
0.00012364216545286797	530.5764602172814
0.0001244996422208051	534.1304517992302
0.0001253630657173915	537.7082132582182
0.00012623247718407288	541.309902620251
0.00012710791814831058	544.9356789278859
0.00012798943042556505	548.5857022691932
0.00012887705612129314	552.260133784515
0.00012977083763295928	555.9591356732655
0.0001306708176520606	559.6828712007995
0.0001315770391661662	563.4315047052604
0.00013248954546097024	567.2052016045598
0.0001334083801223596	571.0041284033219
0.0001343335870384958	574.8284526999183
0.00013526521040191125	578.6783431935291
0.00013620329471162015	582.5539696912563
0.00013714788477524394	586.4555031152724
0.00013809902571115164	590.3831155363107
0.0001390567629506147	594.3369802599657
0.00014002114223997733	598.317271758202
0.00014099220964284136	602.3241656514114
0.00014197001154226657	606.3578387158558
0.0001429545946429861	610.4184688911877
0.00014394600597363732	614.5062352879829
0.00014494429288900836	618.621318195349
0.00014594950307229957	622.763899088557
0.00014696168453740157	626.9341606367635
0.00014798088563118832	631.1322867107231
0.00014900715503582662	635.3584623906064
0.00015004054177110128	639.6128739738235
0.00015108109519675658	643.8957089829281
0.00015212886501485398	648.2071561628463
0.00015318390127214607	652.547405372019
0.0001542462543624671	656.91664763074
0.00015531597502914014	661.3150752090932
0.00015639311436740056	665.742881636367
0.00015747772382683698	670.2002617091835
0.00015856985521384837	674.6874114996274
0.00015966956069411888	679.204528363454
0.00016077689279510933	683.751810948326
0.00016189190440856637	688.3294592021322
0.00016301464879304875	692.9376743813273
0.00016414517957647113	697.5766590593495
0.00016528355075866584	702.2466171350621
0.00016642981671396195	706.9477538412739
0.0001675840321937827	711.6802757507646
0.0001687462523292605	716.4443906196959
0.0001699165326338703	721.2403072894238
0.00017109492900608134	726.0682359335482
0.00017228149773202697	730.9283880902644
0.00017347629548819326	735.8209766709795
0.0001746793793441261	740.7462159690007
0.00017589080676515717	745.7043216682314
0.0001771106356151488	750.6955108520095
0.00017833892415925764	755.7200020118817
0.00017957573106671803	760.7780150565405
0.00018082111541364404	765.8697713207468
0.00018207513668585138	770.9954935743219
0.00018333785478169882	776.1554060312101
0.00018460933001494896	781.3497343585831
0.00018588962311764945	786.5787057019029
0.00018717879524303362	791.8425487464962
0.0001884769079684416	797.1414936789358
0.0001897840232982614	802.4757721787804
0.00019110020366689084	807.8456174280008
0.0001924255119417195	813.2512641204695
0.00019376001142613146	818.6929484715106
0.00019510376586252945	824.170908227503
0.00019645683943537895	829.6853826755449
