Redshift	Hubble0	OmegaM	OmegaB	SpectralIndex	Sigma8
0	67.74	0.3089	0.0486	0.9667	0.8159
Wavenumber(k)	Pk
9.904427474633744e-05	428.2141701571208
9.936413501399122e-05	429.5503055852039
9.968502825998813e-05	430.89060577787683
0.00010000695782029816	432.2350836616565
0.00010032992704166475	433.58375220289184
0.00010065393928163946	434.93662440786954
0.00010097899790861702	436.2937133229325
0.00010130510630187027	437.65503203460685
0.00010163226785158528	439.0205936697292
0.00010196048595889662	440.39041139565904
0.00010228976403592277	441.7644984278284
0.00010262010550580146	443.1428680351159
0.00010295151380272534	444.5255335286735
0.00010328399237197772	445.91250826084547
0.00010361754466996829	447.3038056253036
0.00010395217416426919	448.6994390571583
0.00010428788433365084	450.09942203310317
0.00010462467866811833	451.50376807153043
0.00010496256066894759	452.9124907326668
0.0001053015338487218	454.32560361869673
0.0001056416017313679	455.7431203738935
0.00010598276785219328	457.1650546847569
0.0001063250357579224	458.5914202801251
0.00010666840900673389	460.02223093131727
0.00010701289116829729	461.4575004522657
0.00010735848582381032	462.897242699645
0.00010770519656603602	464.34147157299486
0.00010805302699934019	465.7902010148637
0.00010840198073972878	467.2434450109313
0.00010875206141488554	468.7012175901539
0.0001091032726642097	470.16353282488495
0.00010945561813885378	471.63040483100406
0.00010980910150176165	473.1018477680805
0.00011016372642770642	474.57787583946657
0.0001105194966033289	476.0585032924636
0.00011087641572717567	477.54374441844163
0.00011123448750973772	479.03361355298244
0.00011159371567348892	480.52812507601357
0.00011195410395292477	482.02729341193185
0.00011231565609460116	483.53113302976834
0.00011267837585717335	485.0396584427728
0.00011304226701143519	486.55288420003683
0.000113407333340358	488.070824887859
0.0001137735786391302	489.5934951372651
0.00011414100671519663	491.12090962434803
0.0001145096213882981	492.6530830704406
0.00011487942649051124	494.1900302422196
0.00011525042586628814	495.731765951885
0.00011562262337249652	497.2783050572524
0.00011599602287845966	498.8296624619336
0.00011637062826599672	500.3858531154474
0.00011674644342946305	501.9468920133738
0.00011712347227579076	503.5127941974931
0.00011750171872452919	505.0835747559208
0.00011788118670788577	506.6592488232532
0.00011826188017076688	508.239831580714
0.0001186438030708188	509.8253382562843
0.00011902695937846896	511.41578412486075
0.00011941135307696712	513.0111845083776
0.00011979698816242683	514.6115547759715
0.00012018386864386694	516.2169103441184
0.00012057199854325334	517.82726667677
0.0001209613818955407	519.442639285501
0.0001213520227487144	521.0630437296703
0.0001217439251638327	522.6884956165429
0.00012213709321506896	524.319010601451
0.00012253153098975387	525.9546043879363
0.0001229272425884181	527.5952927279008
0.00012332423212483475	529.2410914217393
0.00012372250372606232	530.892016318512
0.00012412206153248744	532.5480833160673
0.00012452290969786804	534.2093083597846
0.0001249250523893764	535.8757074343027
0.00012532849378764265	537.5472965692682
0.00012573323808679808	539.2240918435137
0.0001261392894945187	540.9061093852241
0.00012654665223206925	542.5933653720925
0.00012695533053434677	544.2858760314542
0.0001273653286499248	545.983657640463
0.0001277766508410975	547.6867265262173
0.00012818930138392404	549.3950990659249
0.00012860328456827292	551.1087916870466
0.00012901860469786663	552.8278208674524
0.0001294352660903264	554.5522031355827
0.0001298532730772171	556.28195507058
0.00013027263000409223	558.0170933024655
0.00013069334123053908	559.7576345122789
0.00013111541113022414	561.5035954322344
0.00013153884409093853	563.2549928458856
0.0001319636445146435	565.0118435882619
0.0001323898168175164	566.7741645460421
0.0001328173654299964	568.5419726577032
0.00013324629479683072	570.3152849136786
0.00013367660937712062	572.0941183565141
0.00013410831364436802	573.8784900810183
0.00013454141208652176	575.6684172344461
0.00013497590920602442	577.4639170166199
0.00013541180951985905	579.2650066801262
0.00013584911755959615	581.0717035304433
0.0001362878378714408	582.8840249261186
0.00013672797501627993	584.7019882789333
0.00013716953356972963	586.5256110540399
0.00013761251812218284	588.3549107668399
0.00013805693327885704	590.1899049760891
0.00013850278365984203	592.0306112922468
0.0001389500739001481	593.8770473796205
0.0001393988086497542	595.7292309565039
0.00013984899257365614	597.5871797953708
0.00014030063035191525	599.4509117230087
0.00014075372667970697	601.320444620703
0.00014120828626736957	603.1957964243835
0.00014166431384045333	605.0769851248104
0.00014212181413976943	606.9640287677108
0.00014258079192143946	608.8569454539675
0.0001430412519569446	610.7557533397769
0.00014350319903317548	612.6604706368094
0.00014396663795248187	614.5711156123855
0.00014443157353272244	616.4877065896385
0.00014489801060731512	618.4102619476784
0.00014536595402528708	620.338800121767
0.00014583540865132537	622.2733396034798
0.00014630637936582734	624.2138989408891
0.00014677887106495142	626.1604967387054
0.00014725288866066803	628.1131516584784
0.00014772843708081066	630.0718824187476
0.0001482055212691271	632.036707795229
0.00014868414618533071	634.0076466209663
0.00014916431680515215	635.9847177865242
0.00014964603812039106	637.9679402401413
0.0001501293151389679	639.9573329879228
0.0001506141528849761	641.9529150939973
0.00015110055639873415	643.954705680707
0.00015158853073683813	645.9627239288039
0.0001520780809722143	647.9769890801733
0.00015256921219417163	649.9975204392836
0.00015306192950845495	652.0243373699112
0.00015355623803729789	654.0574592949997
0.00015405214291947618	656.0969056968438
0.0001545496493103611	658.1426961172622
