ombh2=0.022 (fiducial)
# Corfunc6		 #r_Array
1.086204055398889371e-03 1.076706827309237013e+02
1.003147441499645026e-03 1.084337349397590486e+02
9.234282990266367945e-04 1.091967871485943817e+02
8.422250101329295914e-04 1.099598393574297290e+02
7.571672029144378528e-04 1.107228915662650621e+02
6.718582796151903805e-04 1.114859437751004094e+02
5.924714644393719570e-04 1.122489959839357567e+02
5.214334698293225483e-04 1.130120481927710898e+02
4.552972540621685622e-04 1.137751004016064371e+02
3.890967767403927789e-04 1.145381526104417702e+02
3.221579273126298944e-04 1.153012048192771175e+02
2.588778327080232169e-04 1.160642570281124506e+02
2.037489558571812902e-04 1.168273092369477979e+02
1.563377220355165447e-04 1.175903614457831452e+02
1.118291697638686827e-04 1.183534136546184783e+02
6.639721034158653674e-05 1.191164658634538256e+02
2.130530885810640821e-05 1.198795180722891587e+02
-1.879567150636011867e-05 1.206425702811245060e+02
-5.131509279368519014e-05 1.214056224899598533e+02
-7.874681697944018897e-05 1.221686746987951864e+02
-1.059504268082285712e-04 1.229317269076305337e+02
-1.348609368379408754e-04 1.236947791164658668e+02
-1.625902449143667820e-04 1.244578313253012141e+02
-1.849509794620003526e-04 1.252208835341365472e+02
-2.013371202047391749e-04 1.259839357429718945e+02
-2.154916037896245813e-04 1.267469879518072418e+02
-2.313836786126253391e-04 1.275100401606425748e+02
-2.489403288181016652e-04 1.282730923694779221e+02
-2.643714106062193883e-04 1.290361445783132694e+02
-2.746263686047407341e-04 1.297991967871486167e+02
-2.809221460380682128e-04 1.305622489959839641e+02
-2.874013137030562159e-04 1.313253012048192829e+02
-2.965620759536598088e-04 1.320883534136546302e+02
-3.066076585005004119e-04 1.328514056224899491e+02
-3.136573794737763585e-04 1.336144578313252964e+02
-3.162138981162091996e-04 1.343775100401606437e+02
-3.168716771832934178e-04 1.351405622489959910e+02
-3.194064796178503157e-04 1.359036144578313383e+02
-3.246103184539778390e-04 1.366666666666666856e+02
-3.295423344596507811e-04 1.374297188755020329e+02
-3.309626632714665791e-04 1.381927710843373518e+02
-3.290199290440467194e-04 1.389558232931726991e+02
-3.270651806442091453e-04 1.397188755020080464e+02
-3.278913504632418371e-04 1.404819277108433937e+02
-3.306706120459579454e-04 1.412449799196787126e+02
-3.319997139468864504e-04 1.420080321285140599e+02
-3.297957892034479501e-04 1.427710843373494072e+02
-3.256305838041622779e-04 1.435341365461847545e+02
-3.229281790026594244e-04 1.442971887550201018e+02
-3.231290642842011879e-04 1.450602409638554207e+02
-3.241479337920271536e-04 1.458232931726907680e+02
-3.228050678232080519e-04 1.465863453815261153e+02
-3.184248382630793786e-04 1.473493975903614626e+02
-3.135615529944917393e-04 1.481124497991968099e+02
-3.110990638174518765e-04 1.488755020080321287e+02
-3.110363670613825859e-04 1.496385542168674760e+02
-3.105682751668124571e-04 1.504016064257028233e+02
-3.072826484166632207e-04 1.511646586345381706e+02
-3.018795998419767767e-04 1.519277108433734895e+02
-2.973216149045793707e-04 1.526907630522088368e+02
-2.954956380844627113e-04 1.534538152610441841e+02
-2.951314532531625588e-04 1.542168674698795314e+02
-2.932935004162547381e-04 1.549799196787148787e+02
-2.887049788410117504e-04 1.557429718875501976e+02
-2.831514195487056049e-04 1.565060240963855449e+02
-2.794252696383341507e-04 1.572690763052208922e+02
-2.782132342389769843e-04 1.580321285140562395e+02
-2.773364004273027954e-04 1.587951807228915868e+02
-2.742825979316814225e-04 1.595582329317269057e+02
-2.690190559865947620e-04 1.603212851405622530e+02
-2.639789407831974921e-04 1.610843373493976003e+02
-2.613009650636329657e-04 1.618473895582329476e+02
-2.604513569583417139e-04 1.626104417670682949e+02
-2.588659833363978185e-04 1.633734939759036138e+02
