r12 	 r13 	 zeta_l(r12,r23) 
17.5	132.5	-7.674975712355251e-05
17.5	137.5	-9.462797290474432e-05
17.5	142.5	-0.00010170272682524362
17.5	147.5	-0.00010228715919913111
17.5	152.5	-9.92465264801867e-05
17.5	157.5	-9.434075393302529e-05
22.5	22.5	0.01022890936291785
22.5	27.5	0.006702929748732959
22.5	32.5	0.004622217794275808
22.5	37.5	0.0032822963273436744
22.5	42.5	0.002363770083781546
22.5	47.5	0.0017163104749031433
22.5	52.5	0.001251585362707918
22.5	57.5	0.0009144152702609988
22.5	62.5	0.0006737071280491284
22.5	67.5	0.0005144347028082227
22.5	72.5	0.00041369027059187506
22.5	77.5	0.0003262847929436369
22.5	82.5	0.0002430821652898901
22.5	87.5	0.00020695888069414476
22.5	92.5	0.00023486642919174947
22.5	97.5	0.00025022530387286277
22.5	102.5	0.0001987573892348019
22.5	107.5	0.00011877043627438317
22.5	112.5	5.844788048015929e-05
22.5	117.5	2.8763549193308085e-05
22.5	122.5	1.0876466751628662e-05
22.5	127.5	-9.259978780769952e-06
22.5	132.5	-2.8705387364610274e-05
22.5	137.5	-4.2457325508440484e-05
22.5	142.5	-4.993171293911696e-05
22.5	147.5	-5.2747653126245166e-05
22.5	152.5	-5.266094723236106e-05
22.5	157.5	-5.0917939707661864e-05
27.5	27.5	0.0028442775571604216
27.5	32.5	0.0022308413334574157
27.5	37.5	0.0017198580953776198
27.5	42.5	0.0013104344724678937
27.5	47.5	0.0009894320472320784
27.5	52.5	0.0007431054126668367
27.5	57.5	0.0005607903585737748
27.5	62.5	0.00043799100774857705
27.5	67.5	0.00035745895695610583
27.5	72.5	0.00028465587850603385
27.5	77.5	0.00020666013156286057
27.5	82.5	0.00014468945529390114
27.5	87.5	0.00012841272390171651
27.5	92.5	0.00015408107227808096
27.5	97.5	0.00015935040357931672
27.5	102.5	0.00011845687973530276
27.5	107.5	6.451068803046048e-05
27.5	112.5	2.3780306393199006e-05
27.5	117.5	3.5851044357515426e-06
27.5	122.5	-2.6488566558090534e-08
27.5	127.5	-8.90773833904513e-07
27.5	132.5	-7.234745209621212e-06
27.5	137.5	-1.599697505738829e-05
27.5	142.5	-2.2933098570906827e-05
27.5	147.5	-2.6919427663684604e-05
27.5	152.5	-2.8492995817387183e-05
27.5	157.5	-2.85022475270583e-05
32.5	32.5	0.0005984782685195999
32.5	37.5	0.0007049415761526013
32.5	42.5	0.0006504364360182503
32.5	47.5	0.0005459731701280548
32.5	52.5	0.0004428583129487526
32.5	57.5	0.00036406595475248514
32.5	62.5	0.0003082423510633616
32.5	67.5	0.00025159292325608907
32.5	72.5	0.00018705734329140888
32.5	77.5	0.00012780868503154587
32.5	82.5	9.005394282714013e-05
32.5	87.5	8.888579639641064e-05
32.5	92.5	0.00011279255276994406
32.5	97.5	0.00011104504246647832
32.5	102.5	7.557001906546718e-05
32.5	107.5	3.755565688414355e-05
32.5	112.5	1.1285014945365337e-05
32.5	117.5	-3.5102446264643432e-06
32.5	122.5	-7.762018035818013e-06
32.5	127.5	-4.197175230900641e-06
32.5	132.5	-1.0434026710865918e-06
32.5	137.5	-3.114566551743839e-06
32.5	142.5	-7.864603989217267e-06
32.5	147.5	-1.2044549286245703e-05
32.5	152.5	-1.4592587046425636e-05
32.5	157.5	-1.5726334659022064e-05
37.5	37.5	-9.688963922248588e-05
37.5	42.5	0.00015658878485647808
37.5	47.5	0.00023602856410520121
37.5	52.5	0.0002490986401957296
37.5	57.5	0.00024050084856540457
37.5	62.5	0.00021130652467175382
37.5	67.5	0.00016480926051917869
37.5	72.5	0.00011739386543615151
37.5	77.5	7.984684891230928e-05
37.5	82.5	6.0074514221501407e-05
37.5	87.5	6.783764986272084e-05
37.5	92.5	8.969796519943392e-05
37.5	97.5	8.296769924941948e-05
37.5	102.5	5.0337923486534194e-05
37.5	107.5	2.1925446751282043e-05
37.5	112.5	5.4201663955955094e-06
37.5	117.5	-3.5885610873793274e-06
37.5	122.5	-7.890103748549535e-06
37.5	127.5	-7.373012837108328e-06
37.5	132.5	-2.826956235279225e-06
37.5	137.5	6.226924302663564e-07
37.5	142.5	-1.1638985325564698e-07
37.5	147.5	-3.1183112541426452e-06
37.5	152.5	-5.9677578944921225e-06
37.5	157.5	-7.834827164248003e-06
42.5	42.5	-0.0002808372354836374
42.5	47.5	-1.8847116747812106e-05
42.5	52.5	0.00010007321235434642
42.5	57.5	0.0001346307154407641
42.5	62.5	0.00012383445651531025
42.5	67.5	9.706310044878624e-05
42.5	72.5	7.076754934398508e-05
