ombh2=0.022 (Fiducial)
# pk6			 # kh6
6.358568797410938487e+02 1.630519152748684773e-04
6.395211960967328650e+02 1.640269633679476485e-04
6.432065726416170719e+02 1.650078422345090784e-04
6.469131291196673601e+02 1.659945867424937941e-04
6.506409859424762772e+02 1.669872319683525996e-04
6.543902641929116726e+02 1.679858131982929633e-04
6.581610856310396684e+02 1.689903659295333583e-04
6.619535728807687747e+02 1.700009258715651651e-04
6.657678495728437156e+02 1.710175289474218931e-04
6.696040400674878583e+02 1.720402112949563709e-04
6.734622694272213721e+02 1.730690092681252273e-04
6.773426634207636425e+02 1.741039594382812335e-04
6.812453485269580824e+02 1.751450985954732887e-04
6.851704519387436676e+02 1.761924637497543197e-04
6.891181015671043042e+02 1.772460921324967714e-04
6.930884260450642387e+02 1.783060211977161730e-04
6.970815547317223491e+02 1.793722886234025654e-04
7.010976177162496015e+02 1.804449323128597355e-04
7.051367458220017852e+02 1.815239903960527701e-04
7.091990706105460731e+02 1.826095012309633637e-04
7.132847243858030879e+02 1.837015034049533648e-04
7.173938401981529296e+02 1.848000357361364817e-04
7.215265518485851999e+02 1.859051372747582548e-04
7.256829938556689967e+02 1.870168473045840253e-04
7.298633010701350941e+02 1.881352053442955500e-04
7.340676088231042513e+02 1.892602511488957211e-04
7.382960531916704667e+02 1.903920247111217691e-04
7.425487710071408856e+02 1.915305662628668691e-04
7.468258998591127238e+02 1.926759162766104199e-04
7.511275780995035802e+02 1.938281154668565639e-04
7.554539448466460954e+02 1.949872047915817048e-04
7.598051399893781763e+02 1.961532254536902666e-04
7.641813041911614164e+02 1.973262189024794502e-04
7.685825788942088366e+02 1.985062268351126913e-04
7.730091063236724267e+02 1.996932911981017921e-04
7.774610294917994224e+02 2.008874541887981872e-04
7.819384922021354214e+02 2.020887582568928014e-04
7.864416390537745656e+02 2.032972461059250968e-04
7.909706154455664091e+02 2.045129606948010916e-04
7.955255675804206703e+02 2.057359452393203768e-04
8.001066425092700456e+02 2.069662432137126212e-04
8.047139882340054555e+02 2.082038983521824235e-04
8.093477536073055489e+02 2.094489546504646005e-04
8.140080883079907608e+02 2.107014563673876607e-04
8.186951428454992765e+02 2.119614480264472259e-04
8.234090685643209326e+02 2.132289744173889389e-04
8.281500176485269549e+02 2.145040805978003435e-04
8.329181431262469459e+02 2.157868118947127390e-04
8.377135988742251129e+02 2.170772139062124404e-04
8.425365396223756989e+02 2.183753325030617142e-04
8.473871209583561495e+02 2.196812138303291210e-04
8.522654993321961001e+02 2.209949043090302383e-04
8.571718320609090824e+02 2.223164506377776537e-04
8.621062773331447033e+02 2.236458997944408512e-04
8.670689942138817514e+02 2.249832990378163977e-04
8.720601426491112989e+02 2.263286959093077785e-04
8.770798834637075743e+02 2.276821382346153164e-04
8.821283781439583436e+02 2.290436741254363903e-04
8.872057887881059060e+02 2.304133519811755744e-04
8.923122783658911885e+02 2.317912204906652941e-04
8.974480107394848574e+02 2.331773286338963483e-04
9.026131506681695100e+02 2.345717256837592736e-04
9.078078638130118634e+02 2.359744612077957374e-04
9.130323167415995158e+02 2.373855850699605288e-04
